F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	
0.0729	1.8944e+005	0.9251	0.9674	0.9948	0.9828	0.0043	0.9716	0.9790	0.9831	0.0000	0.0000	
0.0739	1.8923e+005	0.9238	0.9669	0.9946	0.9825	0.0044	0.9711	0.9786	0.9827	0.0000	0.0000	
0.0749	1.8903e+005	0.9228	0.9664	0.9945	0.9822	0.0045	0.9707	0.9782	0.9824	0.0000	0.0000	
0.0759	1.8882e+005	0.9219	0.9659	0.9943	0.9819	0.0046	0.9702	0.9778	0.9819	0.0000	0.0000	
0.0769	1.8862e+005	0.9219	0.9656	0.9941	0.9816	0.0046	0.9698	0.9773	0.9814	0.0000	0.0000	
0.0779	1.8842e+005	0.9209	0.9651	0.9939	0.9813	0.0047	0.9693	0.9769	0.9809	0.0000	0.0000	
0.0789	1.8821e+005	0.9198	0.9646	0.9937	0.9809	0.0048	0.9688	0.9764	0.9805	0.0000	0.0000	
0.0799	1.8801e+005	0.9187	0.9641	0.9936	0.9806	0.0049	0.9684	0.9760	0.9800	0.0000	0.0000	
0.0809	1.878e+005	0.9177	0.9636	0.9934	0.9803	0.0050	0.9679	0.9756	0.9796	0.0000	0.0000	
0.0819	1.876e+005	0.9165	0.9630	0.9932	0.9800	0.0051	0.9674	0.9752	0.9792	0.0000	0.0000	
0.0829	1.874e+005	0.9158	0.9625	0.9930	0.9796	0.0051	0.9670	0.9747	0.9787	0.0000	0.0000	
0.0839	1.8719e+005	0.9141	0.9619	0.9928	0.9793	0.0052	0.9665	0.9743	0.9783	0.0000	0.0000	
0.0849	1.8699e+005	0.9127	0.9613	0.9926	0.9790	0.0053	0.9660	0.9738	0.9778	0.0000	0.0000	
0.0859	1.8678e+005	0.9118	0.9608	0.9925	0.9786	0.0054	0.9655	0.9734	0.9774	0.0000	0.0000	
0.0869	1.8658e+005	0.9114	0.9604	0.9923	0.9783	0.0055	0.9651	0.9729	0.9769	0.0000	0.0000	
0.0879	1.8638e+005	0.9102	0.9598	0.9921	0.9780	0.0056	0.9646	0.9725	0.9764	0.0000	0.0000	
0.0889	1.8617e+005	0.9095	0.9594	0.9919	0.9776	0.0057	0.9641	0.9720	0.9760	0.0000	0.0000	
0.0899	1.8597e+005	0.9088	0.9589	0.9917	0.9773	0.0057	0.9636	0.9716	0.9755	0.0000	0.0000	
0.0909	1.8576e+005	0.9074	0.9583	0.9915	0.9769	0.0058	0.9631	0.9712	0.9751	0.0000	0.0000	
0.0919	1.8556e+005	0.9062	0.9578	0.9913	0.9766	0.0059	0.9627	0.9707	0.9746	0.0000	0.0000	
0.0929	1.8536e+005	0.9054	0.9573	0.9911	0.9762	0.0060	0.9622	0.9702	0.9741	0.0000	0.0000	
0.0939	1.8515e+005	0.9044	0.9568	0.9909	0.9759	0.0061	0.9617	0.9698	0.9737	0.0000	0.0000	
0.0949	1.8495e+005	0.9035	0.9563	0.9907	0.9756	0.0062	0.9612	0.9693	0.9732	0.0000	0.0000	
