F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	
0.2880	1.4384e+005	0.6868	0.6868	0.6868	0.6868	0.0896	
0.2890	1.4364e+005	0.6864	0.6864	0.6864	0.6864	0.0898	
0.2900	1.4344e+005	0.6860	0.6860	0.6860	0.6860	0.0899	
0.2910	1.4323e+005	0.6855	0.6855	0.6855	0.6855	0.0901	
0.2920	1.4303e+005	0.6851	0.6851	0.6851	0.6851	0.0902	
0.2930	1.4283e+005	0.6846	0.6846	0.6846	0.6846	0.0904	
0.2940	1.4263e+005	0.6842	0.6842	0.6842	0.6842	0.0905	
0.2950	1.4243e+005	0.6837	0.6837	0.6837	0.6837	0.0907	
0.2960	1.4222e+005	0.6833	0.6833	0.6833	0.6833	0.0908	
0.2970	1.4202e+005	0.6829	0.6829	0.6829	0.6829	0.0910	
0.2980	1.4182e+005	0.6824	0.6824	0.6824	0.6824	0.0911	
0.2990	1.4162e+005	0.6820	0.6820	0.6820	0.6820	0.0913	
0.3000	1.4142e+005	0.6815	0.6815	0.6815	0.6815	0.0914	
0.3010	1.4121e+005	0.6811	0.6811	0.6811	0.6811	0.0916	
0.3020	1.4101e+005	0.6806	0.6806	0.6806	0.6806	0.0917	
0.3030	1.4081e+005	0.6802	0.6802	0.6802	0.6802	0.0919	
0.3040	1.4061e+005	0.6797	0.6797	0.6797	0.6797	0.0920	
0.3050	1.4041e+005	0.6793	0.6793	0.6793	0.6793	0.0922	
0.3060	1.402e+005	0.6788	0.6788	0.6788	0.6788	0.0923	
0.3070	1.4e+005  	0.6783	0.6783	0.6783	0.6783	0.0925	
0.3080	1.398e+005	0.6779	0.6779	0.6779	0.6779	0.0926	
0.3090	1.396e+005	0.6774	0.6774	0.6774	0.6774	0.0928	
0.3100	1.394e+005	0.6769	0.6769	0.6769	0.6769	0.0929	
0.3110	1.3919e+005	0.6765	0.6765	0.6765	0.6765	0.0931	
0.3120	1.3899e+005	0.6760	0.6760	0.6760	0.6760	0.0933	
0.3130	1.3879e+005	0.6755	0.6755	0.6755	0.6755	0.0934	
0.3140	1.3859e+005	0.6751	0.6751	0.6751	0.6751	0.0936	
0.3150	1.3839e+005	0.6746	0.6746	0.6746	0.6746	0.0937	
0.3160	1.3818e+005	0.6742	0.6742	0.6742	0.6742	0.0939	
0.3170	1.3798e+005	0.6737	0.6737	0.6737	0.6737	0.0940	
0.3180	1.3778e+005	0.6733	0.6733	0.6733	0.6733	0.0942	
0.3190	1.3758e+005	0.6728	0.6728	0.6728	0.6728	0.0943	
