F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	
0.9545	9303      	0.0729	0.1872	0.3959	0.2081	0.3613	0.0729	0.2365	0.3959	0.0000	0.0000	
0.9555	9099      	0.0711	0.1840	0.3903	0.2046	0.3643	0.0711	0.2328	0.3903	0.0000	0.0000	
0.9565	8895      	0.0694	0.1808	0.3846	0.2012	0.3674	0.0694	0.2290	0.3846	0.0000	0.0000	
0.9575	8691      	0.0677	0.1777	0.3791	0.1978	0.3705	0.0677	0.2254	0.3791	0.0000	0.0000	
0.9585	8487      	0.0660	0.1746	0.3735	0.1945	0.3736	0.0660	0.2217	0.3735	0.0000	0.0000	
0.9595	8283      	0.0643	0.1713	0.3675	0.1909	0.3769	0.0643	0.2179	0.3675	0.0000	0.0000	
0.9605	8079      	0.0627	0.1681	0.3617	0.1875	0.3802	0.0627	0.2141	0.3617	0.0000	0.0000	
0.9615	7875      	0.0610	0.1649	0.3558	0.1840	0.3835	0.0610	0.2103	0.3558	0.0000	0.0000	
0.9625	7671      	0.0593	0.1617	0.3499	0.1805	0.3869	0.0593	0.2064	0.3499	0.0000	0.0000	
0.9635	7467      	0.0576	0.1584	0.3438	0.1769	0.3904	0.0576	0.2025	0.3438	0.0000	0.0000	
0.9645	7263      	0.0559	0.1550	0.3374	0.1732	0.3941	0.0559	0.1985	0.3374	0.0000	0.0000	
0.9655	7059      	0.0542	0.1516	0.3311	0.1696	0.3978	0.0542	0.1944	0.3311	0.0000	0.0000	
0.9665	6855      	0.0526	0.1481	0.3245	0.1658	0.4016	0.0526	0.1902	0.3245	0.0000	0.0000	
0.9674	6651      	0.0509	0.1447	0.3180	0.1621	0.4055	0.0509	0.1861	0.3180	0.0000	0.0000	
0.9684	6447      	0.0492	0.1412	0.3112	0.1582	0.4095	0.0492	0.1819	0.3112	0.0000	0.0000	
0.9694	6243      	0.0476	0.1377	0.3044	0.1544	0.4136	0.0476	0.1776	0.3044	0.0000	0.0000	
0.9704	6039      	0.0459	0.1342	0.2978	0.1506	0.4178	0.0459	0.1734	0.2978	0.0000	0.0000	
0.9714	5835      	0.0442	0.1307	0.2910	0.1467	0.4222	0.0442	0.1691	0.2910	0.0000	0.0000	
0.9724	5631      	0.0425	0.1270	0.2838	0.1427	0.4268	0.0425	0.1647	0.2838	0.0000	0.0000	
0.9734	5427      	0.0408	0.1233	0.2766	0.1386	0.4315	0.0408	0.1602	0.2766	0.0000	0.0000	
0.9744	5223      	0.0391	0.1196	0.2695	0.1346	0.4364	0.0391	0.1557	0.2695	0.0000	0.0000	
0.9754	5019      	0.0374	0.1159	0.2624	0.1306	0.4414	0.0374	0.1513	0.2624	0.0000	0.0000	
0.9764	4815      	0.0357	0.1121	0.2547	0.1263	0.4467	0.0357	0.1465	0.2547	0.0000	0.0000	
0.9774	4611      	0.0340	0.1081	0.2468	0.1220	0.4522	0.0340	0.1417	0.2468	0.0000	0.0000	
0.9784	4407      	0.0323	0.1041	0.2388	0.1176	0.4580	0.0323	0.1368	0.2388	0.0000	0.0000	
0.9794	4203      	0.0306	0.1000	0.2303	0.1130	0.4641	0.0306	0.1316	0.2303	0.0000	0.0000	
0.9804	3999      	0.0289	0.0958	0.2218	0.1084	0.4704	0.0289	0.1264	0.2218	0.0000	0.0000	
0.9814	3795      	0.0272	0.0915	0.2128	0.1037	0.4771	0.0272	0.1210	0.2128	0.0000	0.0000	
0.9824	3591      	0.0256	0.0872	0.2036	0.0988	0.4840	0.0256	0.1155	0.2036	0.0000	0.0000	
0.9834	3387      	0.0239	0.0827	0.1939	0.0938	0.4915	0.0239	0.1098	0.1939	0.0000	0.0000	
0.9844	3183      	0.0222	0.0780	0.1837	0.0886	0.4995	0.0222	0.1038	0.1837	0.0000	0.0000	
0.9854	2979      	0.0206	0.0732	0.1730	0.0832	0.5079	0.0206	0.0976	0.1730	0.0000	0.0000	
0.9864	2775      	0.0190	0.0683	0.1620	0.0777	0.5169	0.0190	0.0912	0.1620	0.0000	0.0000	
0.9874	2571      	0.0174	0.0634	0.1510	0.0721	0.5264	0.0174	0.0848	0.1510	0.0000	0.0000	
0.9884	2367      	0.0158	0.0586	0.1400	0.0667	0.5363	0.0158	0.0785	0.1400	0.0000	0.0000	
0.9894	2163      	0.0142	0.0537	0.1290	0.0612	0.5471	0.0142	0.0722	0.1290	0.0000	0.0000	
0.9904	1959      	0.0126	0.0490	0.1186	0.0559	0.5585	0.0126	0.0661	0.1186	0.0000	0.0000	
0.9914	1755      	0.0111	0.0442	0.1078	0.0505	0.5710	0.0111	0.0599	0.1078	0.0000	0.0000	
0.9924	1551      	0.0095	0.0391	0.0961	0.0448	0.5850	0.0095	0.0532	0.0961	0.0000	0.0000	
0.9934	1347      	0.0080	0.0336	0.0831	0.0386	0.6013	0.0080	0.0459	0.0831	0.0000	0.0000	
0.9944	1143      	0.0066	0.0278	0.0690	0.0319	0.6201	0.0066	0.0381	0.0690	0.0000	0.0000	
0.9954	939       	0.0052	0.0224	0.0558	0.0257	0.6412	0.0052	0.0308	0.0558	0.0000	0.0000	
0.9964	735       	0.0042	0.0185	0.0466	0.0213	0.6589	0.0042	0.0256	0.0466	0.0000	0.0000	
0.9974	531       	0.0031	0.0144	0.0365	0.0166	0.6815	0.0031	0.0199	0.0365	0.0000	0.0000	
0.9984	327       	0.0020	0.0095	0.0243	0.0109	0.7142	0.0020	0.0132	0.0243	0.0000	0.0000	
0.9994	123       	0.0007	0.0037	0.0097	0.0043	0.7747	0.0007	0.0052	0.0097	0.0000	0.0000	
1.0000	0         	0.0000	0.0000	0.0000	0.0000	0.9999	0.0000	0.0000	0.0000	0.0000	0.0000	
