F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	
0.0859	1.8483e+005	0.9101	0.9541	0.9981	0.9981	0.0005	0.9886	0.9886	0.9886	0.0000	0.0000	
0.0869	1.8463e+005	0.9087	0.9534	0.9981	0.9981	0.0005	0.9884	0.9884	0.9884	0.0000	0.0000	
0.0879	1.8443e+005	0.9070	0.9525	0.9980	0.9980	0.0005	0.9882	0.9882	0.9882	0.0000	0.0000	
0.0889	1.8423e+005	0.9055	0.9517	0.9980	0.9980	0.0005	0.9880	0.9880	0.9880	0.0000	0.0000	
0.0899	1.8403e+005	0.9033	0.9506	0.9979	0.9979	0.0005	0.9878	0.9878	0.9878	0.0000	0.0000	
0.0909	1.8382e+005	0.9014	0.9496	0.9979	0.9979	0.0005	0.9876	0.9876	0.9876	0.0000	0.0000	
0.0919	1.8362e+005	0.8997	0.9488	0.9978	0.9978	0.0005	0.9873	0.9873	0.9873	0.0000	0.0000	
0.0929	1.8342e+005	0.8971	0.9475	0.9978	0.9978	0.0006	0.9871	0.9871	0.9871	0.0000	0.0000	
0.0939	1.8322e+005	0.8952	0.9465	0.9978	0.9978	0.0006	0.9869	0.9869	0.9869	0.0000	0.0000	
0.0949	1.8302e+005	0.8934	0.9455	0.9977	0.9977	0.0006	0.9867	0.9867	0.9867	0.0000	0.0000	
0.0959	1.8281e+005	0.8916	0.9446	0.9977	0.9977	0.0006	0.9865	0.9865	0.9865	0.0000	0.0000	
0.0969	1.8261e+005	0.8899	0.9438	0.9976	0.9976	0.0006	0.9863	0.9863	0.9863	0.0000	0.0000	
0.0979	1.8241e+005	0.8877	0.9426	0.9975	0.9975	0.0006	0.9861	0.9861	0.9861	0.0000	0.0000	
0.0989	1.8221e+005	0.8862	0.9419	0.9975	0.9975	0.0006	0.9859	0.9859	0.9859	0.0000	0.0000	
0.0999	1.8201e+005	0.8850	0.9412	0.9974	0.9974	0.0006	0.9856	0.9856	0.9856	0.0000	0.0000	
0.1009	1.818e+005	0.8832	0.9403	0.9974	0.9974	0.0007	0.9854	0.9854	0.9854	0.0000	0.0000	
0.1019	1.816e+005	0.8819	0.9396	0.9973	0.9973	0.0007	0.9852	0.9852	0.9852	0.0000	0.0000	
0.1029	1.814e+005	0.8806	0.9389	0.9973	0.9973	0.0007	0.9850	0.9850	0.9850	0.0000	0.0000	
0.1039	1.812e+005	0.8790	0.9381	0.9972	0.9972	0.0007	0.9847	0.9847	0.9847	0.0000	0.0000	
0.1049	1.81e+005 	0.8774	0.9373	0.9972	0.9972	0.0007	0.9845	0.9845	0.9845	0.0000	0.0000	
0.1059	1.8079e+005	0.8758	0.9364	0.9971	0.9971	0.0007	0.9843	0.9843	0.9843	0.0000	0.0000	
0.1069	1.8059e+005	0.8741	0.9356	0.9970	0.9970	0.0007	0.9840	0.9840	0.9840	0.0000	0.0000	
0.1079	1.8039e+005	0.8729	0.9349	0.9970	0.9970	0.0008	0.9838	0.9838	0.9838	0.0000	0.0000	
0.1089	1.8019e+005	0.8710	0.9340	0.9969	0.9969	0.0008	0.9836	0.9836	0.9836	0.0000	0.0000	
0.1099	1.7999e+005	0.8690	0.9329	0.9969	0.9969	0.0008	0.9833	0.9833	0.9833	0.0000	0.0000	
0.1109	1.7978e+005	0.8670	0.9319	0.9968	0.9968	0.0008	0.9831	0.9831	0.9831	0.0000	0.0000	
0.1119	1.7958e+005	0.8648	0.9308	0.9967	0.9967	0.0008	0.9828	0.9828	0.9828	0.0000	0.0000	
0.1129	1.7938e+005	0.8629	0.9298	0.9967	0.9967	0.0008	0.9826	0.9826	0.9826	0.0000	0.0000	
0.1139	1.7918e+005	0.8605	0.9286	0.9966	0.9966	0.0009	0.9823	0.9823	0.9823	0.0000	0.0000	
0.1149	1.7898e+005	0.8587	0.9276	0.9965	0.9965	0.0009	0.9821	0.9821	0.9821	0.0000	0.0000	
0.1159	1.7877e+005	0.8559	0.9262	0.9965	0.9965	0.0009	0.9818	0.9818	0.9818	0.0000	0.0000	
0.1169	1.7857e+005	0.8537	0.9250	0.9964	0.9964	0.0009	0.9816	0.9816	0.9816	0.0000	0.0000	
0.1179	1.7837e+005	0.8510	0.9236	0.9963	0.9963	0.0009	0.9813	0.9813	0.9813	0.0000	0.0000	
0.1189	1.7817e+005	0.8490	0.9226	0.9962	0.9962	0.0009	0.9811	0.9811	0.9811	0.0000	0.0000	
