F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	
0.1440	1.7293e+005	0.7430	0.7430	0.7430	0.7430	0.0716	
0.1450	1.7273e+005	0.7428	0.7428	0.7428	0.7428	0.0716	
0.1460	1.7252e+005	0.7426	0.7426	0.7426	0.7426	0.0717	
0.1470	1.7232e+005	0.7423	0.7423	0.7423	0.7423	0.0718	
0.1480	1.7212e+005	0.7421	0.7421	0.7421	0.7421	0.0719	
0.1490	1.7192e+005	0.7418	0.7418	0.7418	0.7418	0.0719	
0.1500	1.7172e+005	0.7416	0.7416	0.7416	0.7416	0.0720	
0.1510	1.7151e+005	0.7414	0.7414	0.7414	0.7414	0.0721	
0.1520	1.7131e+005	0.7411	0.7411	0.7411	0.7411	0.0722	
0.1530	1.7111e+005	0.7409	0.7409	0.7409	0.7409	0.0722	
0.1540	1.7091e+005	0.7406	0.7406	0.7406	0.7406	0.0723	
0.1550	1.7071e+005	0.7404	0.7404	0.7404	0.7404	0.0724	
0.1560	1.705e+005	0.7401	0.7401	0.7401	0.7401	0.0725	
0.1570	1.703e+005	0.7399	0.7399	0.7399	0.7399	0.0725	
0.1580	1.701e+005	0.7396	0.7396	0.7396	0.7396	0.0726	
0.1590	1.699e+005	0.7394	0.7394	0.7394	0.7394	0.0727	
0.1600	1.697e+005	0.7391	0.7391	0.7391	0.7391	0.0728	
0.1610	1.6949e+005	0.7389	0.7389	0.7389	0.7389	0.0729	
0.1620	1.6929e+005	0.7386	0.7386	0.7386	0.7386	0.0729	
0.1630	1.6909e+005	0.7384	0.7384	0.7384	0.7384	0.0730	
0.1640	1.6889e+005	0.7382	0.7382	0.7382	0.7382	0.0731	
0.1650	1.6869e+005	0.7379	0.7379	0.7379	0.7379	0.0732	
0.1660	1.6848e+005	0.7378	0.7378	0.7378	0.7378	0.0732	
0.1670	1.6828e+005	0.7375	0.7375	0.7375	0.7375	0.0733	
0.1680	1.6808e+005	0.7372	0.7372	0.7372	0.7372	0.0734	
0.1690	1.6788e+005	0.7370	0.7370	0.7370	0.7370	0.0735	
0.1700	1.6768e+005	0.7367	0.7367	0.7367	0.7367	0.0736	
0.1710	1.6747e+005	0.7364	0.7364	0.7364	0.7364	0.0736	
0.1720	1.6727e+005	0.7362	0.7362	0.7362	0.7362	0.0737	
0.1730	1.6707e+005	0.7359	0.7359	0.7359	0.7359	0.0738	
0.1740	1.6687e+005	0.7357	0.7357	0.7357	0.7357	0.0739	
0.1750	1.6667e+005	0.7354	0.7354	0.7354	0.7354	0.0739	
