F-lost	   TF_cost	
0.8029	39810     	
0.8039	39608     	
0.8049	39406     	
0.8059	39204     	
0.8069	39002     	
0.8079	38800     	
0.8089	38598     	
0.8099	38396     	
0.8109	38194     	
0.8119	37992     	
0.8129	37790     	
0.8139	37588     	
0.8149	37386     	
0.8159	37184     	
0.8169	36982     	
0.8179	36780     	
0.8189	36578     	
0.8199	36376     	
0.8209	36174     	
0.8219	35972     	
0.8229	35770     	
0.8239	35568     	
0.8249	35366     	
0.8259	35164     	
0.8269	34962     	
0.8279	34760     	
0.8289	34558     	
0.8299	34356     	
0.8309	34154     	
0.8319	33952     	
0.8329	33750     	
0.8339	33548     	
0.8349	33346     	
0.8359	33144     	
0.8369	32942     	
0.8379	32740     	
0.8389	32538     	
0.8399	32336     	
0.8409	32134     	
0.8419	31932     	
0.8429	31730     	
0.8439	31528     	
0.8449	31326     	
0.8459	31124     	
0.8469	30922     	
0.8479	30720     	
0.8489	30518     	
0.8499	30316     	
0.8509	30114     	
0.8519	29912     	
0.8529	29710     	
0.8539	29508     	
0.8549	29306     	
0.8559	29104     	
0.8569	28902     	
0.8579	28700     	
0.8589	28498     	
0.8599	28296     	
0.8609	28094     	
0.8619	27892     	
0.8629	27690     	
0.8639	27488     	
0.8649	27286     	
0.8659	27084     	
0.8669	26882     	
0.8679	26680     	
0.8689	26478     	
0.8699	26276     	
0.8709	26074     	
0.8719	25872     	
0.8729	25670     	
0.8739	25468     	
0.8749	25266     	
0.8759	25064     	
0.8769	24862     	
0.8779	24660     	
0.8789	24458     	
0.8799	24256     	
0.8809	24054     	
0.8819	23852     	
0.8829	23650     	
0.8839	23448     	
0.8849	23246     	
0.8859	23044     	
0.8869	22842     	
0.8879	22640     	
0.8889	22438     	
0.8899	22236     	
0.8909	22034     	
0.8919	21832     	
0.8929	21630     	
0.8939	21428     	
0.8949	21226     	
0.8959	21024     	
0.8969	20822     	
0.8979	20620     	
0.8989	20418     	
0.8999	20216     	
0.9009	20014     	
0.9019	19812     	
0.9029	19610     	
0.9039	19408     	
0.9049	19206     	
0.9059	19004     	
0.9069	18802     	
0.9079	18600     	
0.9089	18398     	
0.9099	18196     	
0.9109	17994     	
0.9119	17792     	
0.9129	17590     	
0.9139	17388     	
0.9149	17186     	
0.9159	16984     	
0.9169	16782     	
0.9179	16580     	
0.9189	16378     	
0.9199	16176     	
0.9209	15974     	
0.9219	15772     	
0.9229	15570     	
0.9239	15368     	
0.9249	15166     	
0.9259	14964     	
0.9269	14762     	
0.9279	14560     	
0.9289	14358     	
0.9299	14156     	
0.9309	13954     	
0.9319	13752     	
0.9329	13550     	
0.9339	13348     	
0.9349	13146     	
0.9359	12944     	
0.9369	12742     	
0.9379	12540     	
0.9389	12338     	
0.9399	12136     	
0.9409	11934     	
0.9419	11732     	
0.9429	11530     	
0.9439	11328     	
0.9449	11126     	
0.9459	10924     	
0.9469	10722     	
0.9479	10520     	
0.9489	10318     	
0.9499	10116     	
0.9509	9914      	
0.9519	9712      	
0.9529	9510      	
0.9539	9308      	
0.9549	9106      	
0.9559	8904      	
0.9569	8702      	
0.9579	8500      	
0.9589	8298      	
0.9599	8096      	
0.9609	7894      	
0.9619	7692      	
0.9629	7490      	
0.9639	7288      	
0.9649	7086      	
0.9659	6884      	
0.9669	6682      	
0.9679	6480      	
0.9689	6278      	
0.9699	6076      	
0.9709	5874      	
0.9719	5672      	
0.9729	5470      	
0.9739	5268      	
0.9749	5066      	
0.9759	4864      	
0.9769	4662      	
0.9779	4460      	
0.9789	4258      	
0.9799	4056      	
0.9809	3854      	
0.9819	3652      	
0.9829	3450      	
0.9839	3248      	
0.9849	3046      	
0.9859	2844      	
0.9869	2642      	
0.9879	2440      	
0.9889	2238      	
0.9899	2036      	
0.9909	1834      	
0.9919	1632      	
0.9929	1430      	
0.9939	1228      	
0.9949	1026      	
0.9959	824       	
0.9969	622       	
0.9979	420       	
0.9989	218       	
0.9999	16        	
1.0000	0         	
